date,tmin,tmax,prcp,snow,snwd,awnd
2/8/20,27,43,0,0,0,5.37
11/24/17,26,57,0,0,0,1.57
6/21/21,72,91,0,0,0,9.4
2/21/20,26,36,0,0,2,7.61
11/26/17,33,62,0,0,0,2.91
6/23/21,59,79,0,0,0,5.59
2/22/20,22,54,0,0,0,2.68
12/1/17,41,63,0,0,0,5.14
6/24/21,57,79,0,0,0,6.93
2/26/20,48,64,0,0,0,6.93
12/3/17,42,64,0,0,0,2.46
6/26/21,70,86,0.03,0,0,4.7
3/1/20,24,59,0,0,0,5.37
12/12/17,30,53,0,0,0,9.62
6/29/21,71,91,0,0,0,5.59
3/6/20,40,59,0,0,0,7.83
12/18/17,35,61,0,0,0,2.01
7/4/21,60,84,0,0,0,2.24
3/14/20,51,69,0,0,0,5.37
12/20/17,48,56,0.42,0,0,2.46
7/13/21,73,90,0,0,0,9.4
3/17/20,50,63,0,0,0,5.59
12/25/17,30,47,0,0,0,7.61
7/21/21,71,89,0,0,0,4.25
3/22/20,46,58,0.03,0,0,10.96
12/26/17,27,43,0,0,0,2.24
7/22/21,70,86,0,0,0,4.92
4/6/20,52,82,0.02,0,0,5.37
12/28/17,18,30,0,0,0,7.83
7/23/21,66,87,0,0,0,4.25
4/10/20,42,60,0,0,0,8.28
12/29/17,15,42,0,0,0,2.01
8/3/21,66,75,0.11,0,0,7.16
4/18/20,41,67,0.36,0,0,9.17
12/30/17,27,52,0,0,0,4.92
8/19/21,73,94,0.44,0,0,3.8
4/29/20,59,81,0,0,0,15.21
1/17/18,23,38,0.49,5.9,0,5.82
8/23/21,68,92,0,0,0,2.01
5/3/20,53,86,0,0,0,9.17
1/29/18,33,52,0.59,0,0,8.05
8/25/21,72,95,0,0,0,2.24
5/5/20,53,73,0.02,0,0,8.28
2/1/18,31,62,0,0,0,13.2
8/28/21,73,95,0,0,0,4.92
5/23/20,61,85,0,0,0,4.47
2/6/18,29,59,0,0,0,5.37
9/3/21,54,83,0,0,0,3.13
5/28/20,70,85,0.73,0,0,6.49
2/13/18,37,44,0,0,0,8.72
9/8/21,72,93,0,0,0,7.61
5/30/20,68,88,0,0,0,3.8
2/15/18,54,75,0,0,0,14.32
9/9/21,63,75,1.6,0,0,5.14
6/5/20,71,88,0,0,0,8.28
2/16/18,56,81,0.02,0,0,13.42
9/12/21,62,87,0,0,0,6.26
6/10/20,76,92,0.05,0,0,11.18
2/19/18,40,50,0.3,0,0,2.46
9/19/21,66,90,0,0,0,4.47
6/19/20,66,86,0.8,0,0,5.59
2/20/18,50,72,0,0,0,3.36
9/20/21,70,84,0,0,0,8.28
6/21/20,62,89,0,0,0,2.24
2/21/18,63,77,0,0,0,8.95
9/22/21,63,80,0.73,0,0,8.95
6/22/20,70,91,0,0,0,7.83
3/13/18,29,48,0,0,1.2,6.71
9/28/21,59,87,0,0,0,4.7
6/27/20,66,91,0,0,0,5.82
3/17/18,34,71,0.27,0,0,6.26
10/5/21,66,88,0,0,0,3.36
6/29/20,72,91,0,0,0,4.03
3/22/18,32,53,0,0,0,6.04
10/10/21,64,76,0,0,0,8.05
7/2/20,70,90,0,0,0,5.37
4/8/18,32,52,0,0,0,4.92
10/15/21,59,85,0,0,0,2.91
7/17/20,73,95,0.96,0,0,6.26
4/9/18,40,57,0,0,0,5.14
10/20/21,45,79,0,0,0,2.01
